Frequency Samples,Real,Imag
-6484.6,3.99931,-0.0661011
-6484.5,1.98881,-0.0329418
-6484.4,4.44139,-0.0736723
-6484.3,1.95405,-0.03246
-6484.2,8.3039,-0.138139
-6484.1,-7.99867,0.133255
-6484,-4.43512,0.0739933
-6483.9,2.04575,-0.0341792
-6483.8,-0.453913,0.00759792
-6483.7,2.01045,-0.0336857
-6483.6,-0.000180006,3.12924e-06
-6483.5,1.98864,-0.0334163
-6483.4,-0.490606,0.00825548
-6483.3,1.95338,-0.0329171
-6483.2,-4.50796,0.0760739
-6483.1,-7.99863,0.135172
-6483,8.64414,-0.146288
-6482.9,2.0464,-0.034681
-6482.8,4.50216,-0.0764074
-6482.7,2.01059,-0.0341709
-6482.6,3.99925,-0.0681152
-6482.5,1.98848,-0.0338898
-6482.4,4.44048,-0.0757864
-6482.3,1.95272,-0.0333742
-6482.2,8.29908,-0.142039
-6482.1,-7.99859,0.137089
-6482,-4.43404,0.0761019
-6481.9,2.04705,-0.0351824
-6481.8,-0.453393,0.00780249
-6481.7,2.01073,-0.0346556
-6481.6,-0.000190735,3.15905e-06
-6481.5,1.98831,-0.0343637
-6481.4,-0.491137,0.00850081
-6481.3,1.95205,-0.0338308
-6481.2,-4.50896,0.0782523
-6481.1,-7.99855,0.139006
-6481,8.64902,-0.150522
-6480.9,2.0477,-0.0356849
-6480.8,4.50299,-0.0785811
-6480.7,2.01088,-0.0351398
-6480.6,3.99921,-0.0699463
-6480.5,1.98814,-0.0348377
-6480.4,4.43957,-0.0778995
-6480.3,1.95139,-0.034287
-6480.2,8.29424,-0.145936
-6480.1,-7.99851,0.140923
-6480,-4.43295,0.0782089
-6479.9,2.04836,-0.0361878
-6479.8,-0.452871,0.00801134
-6479.7,2.01102,-0.0356245
-6479.6,-0.000201464,3.09944e-06
-6479.5,1.98797,-0.0353112
-6479.4,-0.491666,0.00874567
-6479.3,1.95072,-0.0347432
-6479.2,-4.50995,0.0804322
-6479.1,-7.99847,0.14284
-6479,8.65391,-0.154755
-6478.9,2.04901,-0.0366904
-6478.8,4.50381,-0.0807548
-6478.7,2.01116,-0.0361092
-6478.6,3.99916,-0.0719604
-6478.5,1.9878,-0.035785
-6478.4,4.43866,-0.0800121
-6478.3,1.95005,-0.035199
-6478.2,8.28941,-0.149827
-6478.1,-7.99843,0.144757
-6478,-4.43186,0.0803148
-6477.9,2.04966,-0.0371933
-6477.8,-0.452347,0.0082469
-6477.7,2.0113,-0.0365934
-6477.6,-0.000212193,4.05312e-06
-6477.5,1.98763,-0.0362585
-6477.4,-0.492193,0.00898814
-6477.3,1.94939,-0.0356542
-6477.2,-4.51094,0.0826131
-6477.1,-7.99839,0.146674
-6477,8.6588,-0.158994
-6476.9,2.05031,-0.0376966
-6476.8,4.50464,-0.0829298
-6476.7,2.01145,-0.0370789
-6476.6,3.99913,-0.0737915
-6476.5,1.98746,-0.0367317
-6476.4,4.43774,-0.082124
